Accession,DB,Module,MIBiG Accession,Substrate Specificity,Start,End,Taxonomy,Verbose ID
AFH75330.1,GenBank,mod1,BGC0000398,leu,584,1064,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75330.1_584_mod1_leu
AFH75330.1,GenBank,mod2,BGC0000398,leu,1625,2108,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75330.1_1625_mod2_leu
AFH75330.1,GenBank,mod3,BGC0000398,ser,2671,3168,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75330.1_2671_mod3_ser
AFH75330.1,GenBank,mod4,BGC0000398,val,3756,4244,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000398_AFH75330.1_3756_mod4_val
AFR69334.1,GenBank,mod1,BGC0001045,d-ala,544,1017,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0001045_AFR69334.1_544_mod1_d-ala
AFR69334.1,GenBank,mod2,BGC0001045,d-cys,2032,2509,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0001045_AFR69334.1_2032_mod2_d-cys
AFR69334.1,GenBank,mod3,BGC0001045,ile|val,3500,3967,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0001045_AFR69334.1_3500_mod3_ile|val
AFZ61501.1,GenBank,mod1,NA,leu,498,969,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61501.1_498_mod1_leu
AFZ61501.1,GenBank,mod2,NA,glu,1515,2003,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61501.1_1515_mod2_glu
AFZ61525.1,GenBank,mod1,NA,athr,558,1048,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61525.1_558_mod1_athr
AFZ61525.1,GenBank,mod2,NA,val,1627,2096,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61525.1_1627_mod2_val
AFZ61525.1,GenBank,mod3,NA,leu,2683,3156,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61525.1_2683_mod3_leu
AFZ61525.1,GenBank,mod4,NA,ser,3733,4208,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61525.1_3733_mod4_ser
AFZ61526.1,GenBank,mod1,NA,leu,575,1051,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61526.1_575_mod1_leu
AFZ61526.1,GenBank,mod2,NA,ser,1614,2092,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61526.1_1614_mod2_ser
AFZ61526.1,GenBank,mod3,NA,ile,2645,3122,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,AFZ61526.1_2645_mod3_ile
AGC24265.1,GenBank,mod1,NA,pro,37,463,Bacteria_Actinobacteria_Streptosporangiales_Streptosporangiaceae_Nonomuraea,AGC24265.1_37_mod1_pro
AGC65513.1,GenBank,mod1,NA,phe|tyr,491,981,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Thalassospira,AGC65513.1_491_mod1_phe|tyr
AGC65514.1,GenBank,mod1,NA,val,530,999,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Thalassospira,AGC65514.1_530_mod1_val
AGC65514.1,GenBank,mod2,NA,ser,1579,2052,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Thalassospira,AGC65514.1_1579_mod2_ser
AGC65514.1,GenBank,mod3,NA,val,4147,4633,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Thalassospira,AGC65514.1_4147_mod3_val
AGC65515.1,GenBank,mod1,NA,tyr,442,785,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Thalassospira,AGC65515.1_442_mod1_tyr
AGC65516.1,GenBank,mod1,NA,val,1081,1547,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Tistrella,AGC65516.1_1081_mod1_val
AGC65516.1,GenBank,mod2,NA,ser,2153,2632,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Tistrella,AGC65516.1_2153_mod2_ser
AGC65517.1,GenBank,mod1,NA,tyr,453,815,Bacteria_Proteobacteria_Alphaproteobacteria_Rhodospirillales_Rhodospirillaceae_Tistrella,AGC65517.1_453_mod1_tyr
AGM14925.1,GenBank,mod1,BGC0000463,leu,482,957,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14925.1_482_mod1_leu
AGM14925.1,GenBank,mod2,BGC0000463,glu,1531,2023,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14925.1_1531_mod2_glu
AGM14933.1,GenBank,mod1,BGC0000463,gln,561,1049,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_561_mod1_gln
AGM14933.1,GenBank,mod2,BGC0000463,gln,1613,2095,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_1613_mod2_gln
AGM14933.1,GenBank,mod3,BGC0000463,val,2676,3148,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_2676_mod3_val
AGM14933.1,GenBank,mod4,BGC0000463,leu,3718,4205,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_3718_mod4_leu
AGM14933.1,GenBank,mod5,BGC0000463,gln,4773,5254,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_4773_mod5_gln
AGM14933.1,GenBank,mod6,BGC0000463,ser,5818,6300,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_5818_mod6_ser
AGM14933.1,GenBank,mod7,BGC0000463,val,6881,7353,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_6881_mod7_val
AGM14933.1,GenBank,mod8,BGC0000463,leu,7925,8412,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14933.1_7925_mod8_leu
AGM14934.1,GenBank,mod1,BGC0000463,leu,568,1046,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14934.1_568_mod1_leu
AGM14934.1,GenBank,mod2,BGC0000463,leu,1604,2074,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14934.1_1604_mod2_leu
AGM14934.1,GenBank,mod3,BGC0000463,gln,2646,3135,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14934.1_2646_mod3_gln
AGM14934.1,GenBank,mod4,BGC0000463,ile|val,3713,4183,Bacteria_Proteobacteria_Gammaproteobacteria_Pseudomonadales_Pseudomonadaceae_Pseudomonas,BGC0000463_AGM14934.1_3713_mod4_ile|val
AGM16412.1,GenBank,mod1,BGC0000400,orn,456,950,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16412.1_456_mod1_orn
AGM16412.1,GenBank,mod1,NA,orn,456,950,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16412.1_456_mod1_orn
AGM16412.1,GenBank,mod2,BGC0000400,val,1974,2466,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16412.1_1974_mod2_val
AGM16412.1,GenBank,mod2,NA,val,1974,2466,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16412.1_1974_mod2_val
AGM16412.1,GenBank,mod3,BGC0000400,thr,3015,3507,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16412.1_3015_mod3_thr
AGM16412.1,GenBank,mod3,NA,thr,3015,3507,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16412.1_3015_mod3_thr
AGM16412.1,GenBank,mod4,BGC0000400,orn,4054,4549,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16412.1_4054_mod4_orn
AGM16412.1,GenBank,mod4,NA,orn,4054,4549,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16412.1_4054_mod4_orn
AGM16412.1,GenBank,mod5,BGC0000400,ser,5576,6078,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16412.1_5576_mod5_ser
AGM16412.1,GenBank,mod5,NA,ser,5576,6078,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16412.1_5576_mod5_ser
AGM16413.1,GenBank,mod1,BGC0000400,val,273,765,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16413.1_273_mod1_val
AGM16413.1,GenBank,mod1,NA,val,273,765,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16413.1_273_mod1_val
AGM16413.1,GenBank,mod2,BGC0000400,lys,1312,1807,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16413.1_1312_mod2_lys
AGM16413.1,GenBank,mod2,NA,lys,1312,1807,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16413.1_1312_mod2_lys
AGM16413.1,GenBank,mod3,BGC0000400,ser,2831,3332,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16413.1_2831_mod3_ser
AGM16413.1,GenBank,mod3,NA,ser,2831,3332,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16413.1_2831_mod3_ser
AGM16413.1,GenBank,mod4,BGC0000400,ile,4358,4848,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16413.1_4358_mod4_ile
AGM16413.1,GenBank,mod4,NA,ile,4358,4848,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16413.1_4358_mod4_ile
AGM16413.1,GenBank,mod5,BGC0000400,pro,5398,5888,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16413.1_5398_mod5_pro
AGM16413.1,GenBank,mod5,NA,pro,5398,5888,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16413.1_5398_mod5_pro
AGM16414.1,GenBank,mod1,BGC0000400,val,277,770,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16414.1_277_mod1_val
AGM16414.1,GenBank,mod1,NA,val,277,770,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16414.1_277_mod1_val
AGM16414.1,GenBank,mod2,BGC0000400,lys,1316,1811,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16414.1_1316_mod2_lys
AGM16414.1,GenBank,mod2,NA,lys,1316,1811,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16414.1_1316_mod2_lys
AGM16414.1,GenBank,mod3,BGC0000400,ile,2358,2848,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000400_AGM16414.1_2358_mod3_ile
AGM16414.1,GenBank,mod3,NA,ile,2358,2848,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,AGM16414.1_2358_mod3_ile
AGN11881.1,GenBank,mod1,BGC0001114,thr,528,1013,Bacteria_Proteobacteria_Betaproteobacteria_Burkholderiales_Burkholderiaceae_Burkholderia_pseudomallei group,BGC0001114_AGN11881.1_528_mod1_thr
AGQ43600.1,GenBank,mod1,BGC0001166,pro,228,726,Eukaryota_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporomycetidae_Pleosporales_Pleosporineae_Pleosporaceae_Alternaria,BGC0001166_AGQ43600.1_228_mod1_pro
AGQ43600.1,GenBank,mod2,BGC0001166,ala,1838,2357,Eukaryota_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporomycetidae_Pleosporales_Pleosporineae_Pleosporaceae_Alternaria,BGC0001166_AGQ43600.1_1838_mod2_ala
AGQ43600.1,GenBank,mod3,BGC0001166,d-ala,2990,3508,Eukaryota_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporomycetidae_Pleosporales_Pleosporineae_Pleosporaceae_Alternaria,BGC0001166_AGQ43600.1_2990_mod3_d-ala
AGQ43600.1,GenBank,mod4,BGC0001166,aeo,4142,4638,Eukaryota_Fungi_Dikarya_Ascomycota_Pezizomycotina_Dothideomycetes_Pleosporomycetidae_Pleosporales_Pleosporineae_Pleosporaceae_Alternaria,BGC0001166_AGQ43600.1_4142_mod4_aeo
AGS77307.1,GenBank,mod1,BGC0001178,hpg,26,488,Bacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes,BGC0001178_AGS77307.1_26_mod1_hpg
AGS77307.1,GenBank,mod2,BGC0001178,tyr,1045,1509,Bacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes,BGC0001178_AGS77307.1_1045_mod2_tyr
AGS77308.1,GenBank,mod1,BGC0001178,dpg,476,951,Bacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes,BGC0001178_AGS77308.1_476_mod1_dpg
AGS77309.1,GenBank,mod1,BGC0001178,hpg,471,946,Bacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes,BGC0001178_AGS77309.1_471_mod1_hpg
AGS77309.1,GenBank,mod2,BGC0001178,tyr,1972,2448,Bacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes,BGC0001178_AGS77309.1_1972_mod2_tyr
AGS77310.1,GenBank,mod1,BGC0001178,dpg,492,964,Bacteria_Actinobacteria_Micromonosporales_Micromonosporaceae_Actinoplanes,BGC0001178_AGS77310.1_492_mod1_dpg
AGZ03650.1,GenBank,mod1,BGC0000426,phe,37,523,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000426_AGZ03650.1_37_mod1_phe
AGZ03651.1,GenBank,mod1,BGC0000426,ala,480,975,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000426_AGZ03651.1_480_mod1_ala
AGZ03651.1,GenBank,mod2,BGC0000426,trp,1997,2487,Bacteria_Firmicutes_Bacilli_Bacillales_Paenibacillaceae_Paenibacillus,BGC0000426_AGZ03651.1_1997_mod2_trp
AGZ15455.1,GenBank,mod1,BGC0001036,ala|leu|val,29,516,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,BGC0001036_AGZ15455.1_29_mod1_ala|leu|val
AGZ15458.1,GenBank,mod1,BGC0001036,piperazic,478,983,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,BGC0001036_AGZ15458.1_478_mod1_piperazic
AGZ15458.1,GenBank,mod1,NA,pip,478,983,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AGZ15458.1_478_mod1_pip
AGZ15458.1,GenBank,mod2,BGC0001036,noh-ala,2022,2490,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,BGC0001036_AGZ15458.1_2022_mod2_noh-ala
AGZ15458.1,GenBank,mod2,NA,noh-d-ala|oh-d-ala,2022,2490,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,AGZ15458.1_2022_mod2_noh-d-ala|oh-d-ala
AGZ15459.1,GenBank,mod1,BGC0001036,piperazic,694,1181,Bacteria_Actinobacteria_Streptomycetales_Streptomycetaceae_Streptomyces,BGC0001036_AGZ15459.1_694_mod1_piperazic
